ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensityEdge_PH3,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_PH3,Intensity_LowerQuartileIntensity_DNA,Intensity_LowerQuartileIntensity_PH3,Intensity_MADIntensity_DNA,Intensity_MADIntensity_PH3,Intensity_MassDisplacement_DNA,Intensity_MassDisplacement_PH3,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensityEdge_PH3,Intensity_MaxIntensity_DNA,Intensity_MaxIntensity_PH3,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensityEdge_PH3,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_PH3,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_PH3,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensityEdge_PH3,Intensity_MinIntensity_DNA,Intensity_MinIntensity_PH3,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensityEdge_PH3,Intensity_StdIntensity_DNA,Intensity_StdIntensity_PH3,Intensity_UpperQuartileIntensity_DNA,Intensity_UpperQuartileIntensity_PH3,Location_CenterMassIntensity_X_DNA,Location_CenterMassIntensity_X_PH3,Location_CenterMassIntensity_Y_DNA,Location_CenterMassIntensity_Y_PH3,Location_CenterMassIntensity_Z_DNA,Location_CenterMassIntensity_Z_PH3,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_DNA,Location_MaxIntensity_X_PH3,Location_MaxIntensity_Y_DNA,Location_MaxIntensity_Y_PH3,Location_MaxIntensity_Z_DNA,Location_MaxIntensity_Z_PH3,Number_Object_Number,Parent_Cells,Parent_Nuclei
1,140,216,440.0,334.0,1.0,1.806403555716201,0.46893190968915699,0.0,0.41142857142857142,0.18244378881791445,23.666980798192125,24.738633753705962,4.0,1.6953074649616946,1.4142135623730951,19.065714874599514,20.903489692406374,-20.008142937739464,121.97400000000005,0.64000000000000001,0.40444079656293397,0.037784298561092958,0.10190322031046475,0.019388278414052981,0.039669304609543446,0.053634683851374473,0.035615980181753146,0.012398139549120397,0.019691115025936189,0.032580651732518354,0.036818003008778639,0.016442828080398552,0.048675310115957098,0.005751674935162503,0.0010298878590448764,0.010212088999974471,0.017771663590783172,0.011786572888784883,0.010848391612166809,0.01548360433202813,0.021808040469298212,0.0050260493510876697,0.004159191607325482,0.0029061617797695549,0.013603360984319017,0.0079275329073119818,0.016145584893342425,0.0044652796264470973,0.013284737927038862,0.0088605058457269549,7.2901962548494339,3.7450981736183167,14.03921602293849,8.423529714345932,0.047058824449777603,0.039215687662363052,0.0078431367874145508,0.0,0.66996528051202886,0.066101615813850545,0.21568627655506134,0.047058824449777603,0.21568627655506134,0.047058824449777603,0.075939544321348265,0.039011439308524132,0.064996370476567089,0.038997822751601539,0.050980392843484879,0.039215687662363052,0.039215687662363052,0.031372550874948502,0.039215687662363052,0.031372550874948502,0.047103465045732269,0.0027942488652574079,0.034259024390858761,0.0027123962649056375,0.066666670143604279,0.039215687662363052,446.24469273369454,446.17364990489631,330.72988826154528,331.45623835527493,0.0,0.0,446.15277777777777,331.39351851851853,447.0,435.0,325.0,335.0,0.0,0.0,140,140,140
1,141,334,188.0,342.0,1.0,1.8502223872320962,0.64370742114915691,0.0,0.29928315412186379,0.1277559488084046,31.530069765052289,36.687872655688281,5.3851648071345037,1.948843898796746,1.4142135623730951,25.199999999999999,24.129069701623575,33.590198183979076,181.25399999999982,0.46648044692737428,0.3001090869996787,0.079155355136895783,0.093387604407927316,0.030512428598582046,0.049092089643318425,0.021320396272226975,0.011115790257197453,0.011673779037657829,0.016476147115141729,0.0069851766625113297,0.016651802741993807,0.014043299524620344,0.03418626068519464,0.0183221505646016,0.010914187844472208,0.018140421483076225,0.018626110771807501,0.0039993497664046517,0.0075626270119581165,0.0030201746519909404,0.024051905173930407,0.021311877149290455,0.0031190421972709954,0.015938903334075865,0.0053473944946745271,0.01111696276262341,0.0030205389729903672,0.0075704911911745011,0.0051206701786996886,0.0059621407400040271,9.10588264092803,5.5372550673782825,18.980392746627331,14.203921992331743,0.035294119268655777,0.039215687662363052,0.0039215683937072754,0.0039215683937072754,1.0463672447745775,0.22236819656658469,0.27843138575553894,0.078431375324726105,0.27843138575553894,0.078431375324726105,0.072268909848635154,0.043946468788716525,0.056827523193495003,0.042526712551891444,0.039215687662363052,0.043137256056070328,0.031372550874948502,0.035294119268655777,0.031372550874948502,0.035294119268655777,0.063118305865740756,0.0071651819815657589,0.042805880201881745,0.0050955287306814027,0.050980392843484879,0.043137256056070328,188.86900825416217,188.9218663663066,334.41177686514868,335.23964660888061,0.0,0.0,188.88023952095807,335.45808383233532,190.0,186.0,328.0,327.0,0.0,0.0,141,141,141
1,142,348,317.0,341.0,1.0,2.073910288153741,0.88464340771990202,0.0,0.27662957074721778,0.18070065962615914,38.871369614794354,43.600458713183279,5.3851648071345037,2.067440255515292,2.0,18.199999999999999,18.124483827209989,-45.431630854198538,155.56599999999995,0.60416666666666652,0.2330812001934964,0.074279715264827795,0.073068384978457773,0.058694492663405887,0.020143177068733632,0.027289062990283362,0.034603842152946054,0.024998773524942421,0.018403137757237557,0.0093640862441972134,0.019717541462484757,0.0061061783099729174,0.036701354947681113,0.00514651206340853,0.011952611526916124,0.0040062088344504834,0.008584204311318783,0.017637449374009243,0.010348175604530685,0.0038252044938619696,0.014024527516294186,0.00093059446591784735,0.0056563570665130051,0.00073385234294843051,0.0076523647540622406,0.0034924275622428848,0.015025330387778186,0.010285184169122285,0.0049665544463066294,0.0047759217150311279,10.588235579431057,4.6392158418893814,22.019608408212662,13.86666713654995,0.043137256056070328,0.039215687662363052,0.0039215683937072754,0.0,2.0153551509792331,0.046989952136914294,0.29411765933036804,0.047058824449777603,0.29411765933036804,0.047058824449777603,0.091277892926129797,0.039993240016287769,0.063274736805208801,0.039846744645258475,0.047058824449777603,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.076858100608267491,0.002783457672157172,0.049567216336646458,0.0027002067360853846,0.050980392843484879,0.043137256056070328,317.91540517465734,319.77149321307814,332.09011575519224,332.81815611297139,0.0,0.0,319.77586206896552,332.86494252873564,312.0,324.0,329.0,328.0,0.0,0.0,142,142,142
1,143,495,285.0,328.0,1.0,1.3957563429029434,0.57942849854490197,0.0,0.51995798319327735,0.31085655941875023,32.536030146084649,33.060550509633082,6.4031242374328485,2.5840974649244686,2.2360679774997898,24.318400757134821,26.517615383694281,72.536509125853158,141.458,0.77891424075531079,0.53442356987033091,0.086799931331107402,0.10923209290528819,0.026385767642587085,0.039792553523671392,0.050755453939636673,0.047803329466057032,0.014881544855533686,0.028613599119350613,0.047507896944000629,0.012985555987418086,0.013836473185075832,0.015225977494947508,0.0098882483162865478,0.012458535920504729,0.0078306296779313989,0.023936606958529519,0.016752773331429126,0.012482685967966639,0.010110255649064053,0.0081085277949524345,0.019090459487719584,0.013094334433802344,0.0074368470156676121,0.0086050065611096901,0.008160910568396117,0.0081065560038846851,0.0066532822887670606,0.0043589284999127724,0.0011474348731007318,7.9529414251446724,4.6078432910144329,25.666667424142361,19.807843800634146,0.039215687662363052,0.039215687662363052,0.0039215683937072754,0.0,1.1767501398764688,0.039777310395257989,0.20784313976764679,0.047058824449777603,0.20784313976764679,0.047058824449777603,0.069156012392562374,0.040068202530560287,0.051851853382105781,0.040015846061887163,0.043137256056070328,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.031372550874948502,0.051530460206988912,0.0026764079387309142,0.029779079408269644,0.0027891209555371385,0.047058824449777603,0.043137256056070328,293.34423221986492,292.46287863956263,329.77326201237787,328.93823005676035,0.0,0.0,292.48080808080806,328.97373737373738,294.0,282.0,336.0,331.0,0.0,0.0,143,143,143
1,144,384,377.0,330.0,1.0,1.5283946965341535,0.70459680728073248,0.0,0.53333333333333333,0.27633318636710197,31.557124619582517,32.449961479175904,5.0,2.1056004729728039,2.0,21.50348808914498,22.393184207068447,29.827486851133511,132.14600000000004,0.74059787849566061,0.46149593634305686,0.070626876390765078,0.11456995779513054,0.061679079450633167,0.013807304553415129,0.0092742176686295887,0.034266317102850663,0.010787664316665934,0.025812652628110968,0.050371153352769156,0.020713661833337327,0.011399762665707712,0.037093951252201954,0.02736176335120059,0.016163141757451302,0.01922453273067079,0.02400356979346556,0.01317211801549666,0.010416485244767796,0.0018279904016897681,0.026877489811248406,0.016879513381572137,0.0077089661790686985,0.0067146308674884067,0.0072868609336473027,0.010817824977674764,0.0020650502780724719,0.0074071232342179747,0.0099412479700397259,0.0071279516096697786,8.0549021661281586,4.3058825023472309,22.921569213271141,15.247059345245361,0.043137256056070328,0.039215687662363052,0.0039215683937072754,0.0,0.39808227870087304,0.027140655794177581,0.20392157137393951,0.047058824449777603,0.20392157137393951,0.047058824449777603,0.073898185010350073,0.039503509195846158,0.059691586492893599,0.039705883711576462,0.047058824449777603,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.055105051345701317,0.002693285289687198,0.034432675759951417,0.002801703787169197,0.054901961237192154,0.043137256056070328,384.49597946136083,384.32047324881478,334.2171086327503,333.88580246787797,0.0,0.0,384.296875,333.87239583333331,388.0,380.0,338.0,330.0,0.0,0.0,144,144,144
1,145,364,136.0,336.0,1.0,1.8544905123536406,0.88424396633837998,0.0,0.54654654654654655,0.22593676527871903,37.585989920527489,36.345563690772494,5.6568542494923806,2.1092655341144124,2.0,16.568041525780892,17.553607299116525,-1.6675358063530017,142.28599999999994,0.69070208728652749,0.34891197213787206,0.055244691130806954,0.10710283183700239,0.071428132395353575,0.025723452329294003,0.031731688798295056,0.014724366730889726,0.050998533623300757,0.016373541419323852,0.015406543987509569,0.026324923986409517,0.0064204653157273906,0.020408802868128326,0.0094969947931999154,0.0022957525243685714,0.0088761005953531379,0.012610013758349675,0.007331906585385713,0.0039215518554505712,0.0031235638950406178,0.020800135150252832,0.0071845929445588062,0.0099539920514186836,0.003305083349872495,0.0060304220392300399,0.01204370277478992,0.010256233165738992,0.0063624650013578681,0.012953850598163511,0.0019478113204614979,8.0078434012830257,4.7019609324634075,19.890196692198515,14.921569094061852,0.035294119268655777,0.039215687662363052,0.0039215683937072754,0.0039215683937072754,0.43268684450399814,0.019782915839753782,0.23529411852359772,0.047058824449777603,0.23529411852359772,0.047058824449777603,0.069633420880721969,0.040886616804029628,0.054643397506039873,0.040993321686983109,0.039215687662363052,0.039215687662363052,0.031372550874948502,0.031372550874948502,0.031372550874948502,0.031372550874948502,0.059681364902623213,0.0028354803433178369,0.038547649277612235,0.0026973251191181459,0.047058824449777603,0.043137256056070328,125.60666404290829,125.98738502135662,336.3734227145514,336.5332457300272,0.0,0.0,126.00549450549451,336.54120879120882,129.0,130.0,338.0,341.0,0.0,0.0,145,145,145
1,146,414,346.0,326.0,1.0,1.6879707679763007,0.69700586356849314,0.0,0.38909774436090228,0.23214888625367869,34.303812950367444,37.215588131856791,6.0827625302982193,2.3256561944172489,2.0,26.237191997285819,24.598078270278076,-68.445359806595235,149.69999999999993,0.66990291262135926,0.35892471556779032,0.019894233896270933,0.13926321939340788,0.036074026439980728,0.034237118977292466,0.04041118388643631,0.012915400300182322,0.021888631086649714,0.010954767069632509,0.027127311321351315,0.035096191578154523,0.023187326625844544,0.023318227678592731,0.0041165101372440142,0.01231995332105095,0.010026550640536962,0.014820185870851061,0.014215281200446822,0.023014336738788312,0.0087294502807747087,0.014922263057004807,0.016718641716415159,0.0096563697232274048,0.0051872566130156299,0.0073207164176824014,0.0090045511278461342,0.0077808868147900712,0.012288141321901732,0.0031567614381669694,0.010815222240550615,8.8352943584322929,4.7764707505702972,23.235294722020626,16.447059385478497,0.043137256056070328,0.039215687662363052,0.0039215683937072754,0.0,1.3773812791535609,0.0061993404661342035,0.21960784494876862,0.047058824449777603,0.21960784494876862,0.047058824449777603,0.073627452986935779,0.039803922921419141,0.05612390029473581,0.039727196583281395,0.043137256056070328,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.052502327906019275,0.0028928489748055292,0.032641526871192088,0.0029035610146455107,0.050980392843484879,0.043137256056070328,349.39696201762422,349.17191225579086,331.57417720771684,330.20910825043097,0.0,0.0,349.17391304347825,330.21497584541061,353.0,345.0,337.0,339.0,0.0,0.0,146,146,146
1,147,478,238.0,332.0,1.0,1.8573530667174489,0.90628701712356574,0.0,0.42831541218637992,0.23582121425837405,43.801706281648308,41.340053217188775,6.0,2.4597990297136123,2.2360679774997898,17.977764043395386,18.513351826412979,-55.019995873600216,159.59799999999996,0.7422360248447204,0.35611966201486706,0.090630095000859487,0.074438374208517732,0.06384488679012966,0.064963289778812341,0.035745282850912441,0.033206573757291712,0.018404065107914928,0.018965326452314114,0.012832218995580022,0.031513837868374604,0.011787467380768704,0.021016176365792175,0.0087936140859598555,0.0080307777669812192,0.011616396363641092,0.014847026860817359,0.00042346735388921981,0.012316390594795916,0.004021094145760894,0.011201928087488596,0.0092226277860474274,0.00674953056514206,0.0060207843485174453,0.0094481583269968496,0.014730943464040188,0.0064490891534669578,0.0059555498673500148,0.0052640295671835006,0.0017720696436896242,8.5254904627799988,5.203921727836132,24.78431449458003,19.560784928500652,0.039215687662363052,0.039215687662363052,0.0039215683937072754,0.0039215683937072754,0.72516981846786532,0.049512506395178991,0.23529411852359772,0.050980392843484879,0.23529411852359772,0.050980392843484879,0.067662622720476184,0.041300966093937554,0.051850030323389182,0.040922144201884211,0.043137256056070328,0.039215687662363052,0.031372550874948502,0.035294119268655777,0.031372550874948502,0.035294119268655777,0.050336950483425062,0.0028675930249729186,0.030073232866700501,0.002933588855606233,0.049019608646631241,0.043137256056070328,231.39746836379859,231.93865276974878,339.77405063069398,340.17963111793875,0.0,0.0,231.97280334728035,340.21548117154811,226.0,222.0,337.0,340.0,0.0,0.0,147,147,147
1,148,275,266.0,346.0,1.0,1.5609408933651512,0.75165922302923316,0.0,0.55000000000000004,0.22211955041998849,27.640432947991926,27.784887978899608,4.2426406871192848,1.8161261511468207,1.4142135623730951,17.102631376487071,18.230293857788475,-73.45710013582574,124.73200000000004,0.68922305764411029,0.4535503559613599,0.054890179738656904,0.11916645716215093,0.060996952312243856,0.010690993797696209,0.021674497808635854,0.032492633132007238,0.041128037879601148,0.032321113386146523,0.022786732523280513,0.016240571648258956,0.012999661512249785,0.037174932443809663,0.0092091719172837372,0.013892778464359696,0.014583193112095216,0.02659404606679296,0.0068154154201046134,0.020171695946226396,0.0087155322473586819,0.020766458888406447,0.010615895815906787,0.0068048117113245045,0.0061092587810027844,0.0082974190594019091,0.024261619591962113,0.013039474304682865,0.0052609974423922989,0.010528581844268014,0.0014330370794458315,7.0431374609470367,4.0588236600160599,15.741176933050156,11.160784672945738,0.039215687662363052,0.039215687662363052,0.0039215683937072754,0.0,0.16273638576400373,0.061527358917027646,0.26666668057441711,0.047058824449777603,0.26666668057441711,0.047058824449777603,0.070431374609470368,0.040588236600160602,0.057240643392909657,0.0405846715379845,0.043137256056070328,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.06287711761905089,0.0029016956284079508,0.041239878515949263,0.0028425508572538908,0.051960784941911697,0.043137256056070328,269.27478823729359,269.41602248489619,339.34977578226471,339.52248769713663,0.0,0.0,269.38545454545454,339.46909090909094,271.0,276.0,336.0,330.0,0.0,0.0,148,148,148
1,149,139,213.0,350.0,1.0,2.5881178036958108,0.76190860374644143,0.0,0.34837092731829572,0.15403060108648442,25.450773808368776,21.540659228538015,3.0,1.3763823380850133,1.0,14.748878322255759,16.484073044656025,56.088705958033913,106.49000000000004,0.53358925143953939,0.3759349517860287,0.025743999274084044,0.0069074380771155207,0.074063474273101199,0.011699606434452701,0.026819944528841497,0.10865347889818953,0.0386831837544954,0.019033757286598285,0.02427099458007773,0.011749702849470323,0.011645422204287091,0.023660827588721421,0.015207710077786292,0.0026992809580629268,0.012492445695671992,0.0063465239107950216,0.012079674635224004,0.0071675479392649434,0.0078550926821705815,0.014499749233464931,0.0070763622290014837,0.011997503091795814,0.0033726469035773206,0.0074984230801484085,0.016989702869911305,0.0099496944429412586,0.0053790760180279082,0.008385429375015848,0.0074777617260356833,8.2941178679466248,3.3764706887304783,11.823529716581106,5.7764707617461681,0.050980392843484879,0.039215687662363052,0.019607845693826675,0.0039215683937072754,0.34683121703262981,0.11103980520548055,0.25098040699958801,0.050980392843484879,0.25098040699958801,0.050980392843484879,0.10239651688822994,0.041684823317660227,0.085061364867489969,0.04155734360968466,0.062745101749897003,0.043137256056070328,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.061941110127333297,0.0027862490849434327,0.052497262585780288,0.0030383412203830711,0.10980392247438431,0.043137256056070328,212.75422884456901,212.41615750502115,342.39601990638266,342.46367957489502,0.0,0.0,212.45323741007195,342.56834532374103,208.0,207.0,345.0,337.0,0.0,0.0,149,149,149
