ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cells_Count,Children_Cytoplasm_Count,Children_PH3_Count,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensityEdge_PH3,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_PH3,Intensity_LowerQuartileIntensity_DNA,Intensity_LowerQuartileIntensity_PH3,Intensity_MADIntensity_DNA,Intensity_MADIntensity_PH3,Intensity_MassDisplacement_DNA,Intensity_MassDisplacement_PH3,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensityEdge_PH3,Intensity_MaxIntensity_DNA,Intensity_MaxIntensity_PH3,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensityEdge_PH3,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_PH3,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_PH3,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensityEdge_PH3,Intensity_MinIntensity_DNA,Intensity_MinIntensity_PH3,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensityEdge_PH3,Intensity_StdIntensity_DNA,Intensity_StdIntensity_PH3,Intensity_UpperQuartileIntensity_DNA,Intensity_UpperQuartileIntensity_PH3,Location_CenterMassIntensity_X_DNA,Location_CenterMassIntensity_X_PH3,Location_CenterMassIntensity_Y_DNA,Location_CenterMassIntensity_Y_PH3,Location_CenterMassIntensity_Z_DNA,Location_CenterMassIntensity_Z_PH3,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DNA,Location_MaxIntensity_X_PH3,Location_MaxIntensity_Y_DNA,Location_MaxIntensity_Y_PH3,Location_MaxIntensity_Z_DNA,Location_MaxIntensity_Z_PH3,Number_Object_Number
1,83,153,500.0,248.0,1.0,1.0113965327747492,0.49389483913952065,1.0,0.7846153846153846,0.90712763510978434,15.043480866279623,14.317821063276353,6.324555320336759,2.6443211606815615,2.2360679774997898,12.0,13.080632201240892,80.818932093623616,46.038000000000011,0.93009118541033431,0.91690563113827206,0.021401560456612789,0.068033097874408949,0.046468857585202729,0.01538406460416296,0.021364927944596355,0.043065072244630589,0.032235506525363999,0.01335392675401441,0.0096959254816916633,0.014420100619871782,0.014106946161314384,0.016306806177253642,0.017684137105902289,0.0081820135903177809,0.011808202710410023,0.0084033068282185971,0.0092016681366353607,0.002126219697416061,0.0090625794936721685,0.0043944648464186459,0.0066002343310361871,0.0065418995654902791,0.01224222728224909,0.013850241380945422,0.0095592179002085657,0.0036488051192420518,0.0081578321620628339,0.010237497388689027,0.010877612576907456,1,1,0,4.5960785672068596,1.4509804472327232,30.752941854298115,5.8274512030184269,0.17352941632270813,0.035294119268655777,0.029411762952804565,0.0039215683937072754,0.089689195294224838,0.02672484563026337,0.18039216101169586,0.043137256056070328,0.27450981736183167,0.043137256056070328,0.12094943597912788,0.038183695979808509,0.20099961996273277,0.03808791635959756,0.21764706075191498,0.039215687662363052,0.08235294371843338,0.031372550874948502,0.08235294371843338,0.031372550874948502,0.028243411545194049,0.0030752659520458486,0.053167396570996901,0.0027882656297253954,0.24313725531101227,0.039215687662363052,499.62216271100868,499.65881561315013,247.21512369984103,247.1117092891742,0.0,0.0,499.66666666666669,247.13725490196077,0,501.0,500.0,248.0,240.0,0.0,0.0,83
1,84,108,234.0,250.0,1.0,1.0925166572311775,0.75535349064785062,1.0,0.77142857142857146,0.88275448937660728,14.571906341971051,13.928388277184119,5.0,2.2246854044814537,2.0,9.0,9.5492261054753982,23.777988865326019,39.210000000000008,0.94323144104803491,0.69933979310123717,0.029322596155751127,0.16644455142444803,0.10336738639244804,0.0064552228022124198,0.011603200796391964,0.020953737547192583,0.010266912513868997,0.037252187959549453,0.0080986497967358538,0.010580088538740888,0.0058413504253931646,0.034007865268045306,0.018211332440600143,0.015273566139917278,0.012307939510305925,0.0046018289280920204,0.0012255586406181847,0.013540647455441842,0.0063945991542132003,0.014417823519000887,0.0045117899158942272,0.0033780061208362258,0.020242336738608077,0.007971578269619372,0.0084345463657554253,0.0087541026042318015,0.0070275664208619536,0.010826247700790463,0.0048941950632240341,1,1,0,4.0039216801524162,1.2941176891326904,24.325491018593311,4.3843138664960861,0.16862745583057404,0.039215687662363052,0.054901972413063049,0.0039215683937072754,0.061321671477514293,0.011759927727560618,0.19607843458652496,0.043137256056070328,0.34117648005485535,0.047058824449777603,0.12512255250476301,0.040441177785396576,0.22523602794993808,0.040595498763852648,0.24313725531101227,0.039215687662363052,0.074509806931018829,0.035294119268655777,0.074509806931018829,0.035294119268655777,0.033439270123707274,0.0026737037903004422,0.07554845968220987,0.0031261063133109102,0.28627452254295349,0.043137256056070328,233.26793486969723,233.26028622615794,249.75576333832595,249.68604651239855,0.0,0.0,233.2685185185185,249.69444444444446,0,231.0,235.0,249.0,250.0,0.0,0.0,84
1,85,82,287.0,252.0,1.0,1.0187350678783202,0.57662137169996819,1.0,0.82828282828282829,0.98268964447809615,11.369949252395687,10.770329614269007,5.0,2.0838741579223941,2.0,8.0,9.2893793114827172,13.632254941005806,32.382000000000005,0.94252873563218387,0.86712003477653332,0.037583099086296382,0.10257072432319533,0.057937374512580408,0.018772218359291076,0.018230751817721873,0.058013343888103183,0.02500018637746762,0.012020532294604031,0.0031257100910385598,0.007571533842879891,0.0041173243358952789,0.020887144045542979,0.0053867551545662955,0.0077122977215608622,0.019648900982676111,0.010274030892604346,0.0074332613121674516,0.0057864932334553039,0.0085821305507734879,0.0057122017502004565,0.018703459896057616,0.013567636633855894,0.0050954320803276217,0.020626333508533989,0.01128126853728348,0.0082838555967890467,0.0040818177970721138,0.0039784811782030919,0.0078630347763349855,1,1,0,3.1647059917449951,1.0745098404586315,20.188235878944397,3.3019608929753304,0.13921569287776947,0.039215687662363052,0.090196073055267334,0.0039215683937072754,0.085657197601144278,0.0095730236786101298,0.15294118225574493,0.047058824449777603,0.42745098471641541,0.047058824449777603,0.11721133302759242,0.039796660757727094,0.24619799852371216,0.040267815767991835,0.27058824896812439,0.039215687662363052,0.070588238537311554,0.035294119268655777,0.070588238537311554,0.035294119268655777,0.025287353622153359,0.0029623931501336458,0.10327488101375319,0.0031258027095973748,0.34313726425170898,0.043137256056070328,286.3119658123822,286.22565320721094,251.79933955345766,251.82185273227748,0.0,0.0,286.23170731707319,251.82926829268294,0,288.0,283.0,252.0,250.0,0.0,0.0,85
1,86,126,463.0,255.0,1.0,1.0056389518136366,0.45232439511594613,1.0,0.80769230769230771,0.9594338615750887,13.472471130192394,13.0,5.8309518948453007,2.463050116860066,2.0,11.0,12.015470350749247,89.971942114387062,40.624000000000009,0.93333333333333335,0.92667730178949714,0.019438212382808656,0.064417602399856708,0.036189922602227288,0.01087418196161471,0.0090132934184002714,0.050392684464533634,0.022495072397973319,0.0068058708208940891,0.0019964266635780692,0.0043820289451862691,0.0075504428915465875,0.036565845609751652,0.0070905307103389485,0.0035830815224195773,0.0045326842600397202,0.0049971725592925431,0.0032246134370949964,0.0027690596958761938,0.011171711221864007,0.026702064844787574,0.0071218681855506078,0.0011356045604370175,0.0074967182969738512,0.013057956854124518,0.0058681617970520721,0.0030651918378461901,0.00092286306433672226,0.0020538085007452567,0.0087920698723561747,1,1,1,3.470588319003582,2.509803980588913,40.568628557026386,23.305882982909679,0.12745098769664764,0.10000000149011612,0.19215686619281769,0.070588231086730957,0.067738109785125955,0.17715487934201515,0.17647059261798859,0.18039216101169586,0.71764707565307617,0.364705890417099,0.10207612702951711,0.073817764134968031,0.32197324251608245,0.18496732526118792,0.32941177487373352,0.20392157137393951,0.066666670143604279,0.047058824449777603,0.066666670143604279,0.047058824449777603,0.022091498537643153,0.025776418340462647,0.18720333823372418,0.086759455585254025,0.48235294222831726,0.25294119119644165,462.61778637294287,462.5389533862097,255.01227646980792,254.93404004755388,0.0,0.0,462.65079365079367,255.07142857142858,0,464.0,463.0,253.0,259.0,0.0,0.0,86
1,87,89,309.0,258.0,1.0,1.0320028635561638,0.63490026797336219,1.0,0.80909090909090908,0.91465704477506005,12.17744730286903,11.661903789690601,4.4721359549995796,2.1067693130347989,2.0,8.9442719099991592,9.40822398947879,53.894179047689263,34.968000000000004,0.92708333333333337,0.83322293736345199,0.066004736867257621,0.10628686510981254,0.086992872644873681,0.019858458958400705,0.011148810285383164,0.03113126405685164,0.039331127701935385,0.031060731679348245,0.021261813806330271,0.016594405537519907,0.011901909006989902,0.013935418623232844,0.016646774080977988,0.02717835826828266,0.0092394231354088283,0.017810538920784283,0.011054108283438707,0.014504217527648008,0.010212858437668159,0.023732335921033458,0.016964017017505918,0.024019787185858846,0.020249086598064986,0.0051641607587914144,0.0042461339924520728,0.0075017171434191669,0.014177680590728601,0.010495934768684526,0.0097704744714884693,1,1,0,3.4235295206308365,1.1647059209644794,20.333333969116211,3.6000001169741154,0.14117647707462311,0.039215687662363052,0.070588245987892151,0.0039215683937072754,0.040385005293660306,0.032637316368845773,0.18823529779911041,0.047058824449777603,0.38431373238563538,0.047058824449777603,0.1180527420907185,0.040162273136706186,0.22846442661928326,0.040449439516563095,0.24313725531101227,0.039215687662363052,0.074509806931018829,0.035294119268655777,0.074509806931018829,0.035294119268655777,0.027888808280017656,0.0030297978589512858,0.089548195816772938,0.0029741416214823383,0.30490197241306305,0.043137256056070328,308.56104146718167,308.54575163546474,257.10568949249722,257.11764706144095,0.0,0.0,308.56179775280901,257.14606741573033,0,309.0,305.0,258.0,253.0,0.0,0.0,87
1,88,262,382.0,254.0,1.0,1.1039026568619958,0.72366277758889874,1.0,0.68947368421052635,0.77093892072223691,22.388480192021504,22.022715545545239,7.0710678118654755,3.0295502961046163,2.8284271247461903,14.758048651498612,15.451493329270111,51.837121296716887,65.350000000000023,0.88663282571912017,0.68447438937355121,0.035856693608660915,0.16533626313150729,0.091472298718588294,0.0079380854245314856,0.0067871196148669702,0.02232839812414111,0.01532023296456355,0.034459350082890125,0.0085795055245233374,0.015191588713073561,0.012406380061144209,0.019405228084659356,0.014528467034998075,0.024549963050672488,0.018043377069325454,0.0074232402814194106,0.0057577329763843612,0.013051840243528295,0.0060184178940251715,0.0069635882354870515,0.0098962732145969415,0.0011532724927937469,0.0075434818010024851,0.0052105684916169603,0.0018477207236795509,0.006387683840960898,0.010667972904470843,0.001297325926392113,0.00067090001188592984,1,1,0,8.1411766707897186,2.3647059537470341,70.831374444067478,10.905882686376572,0.19411765038967133,0.039215687662363052,0.062745094299316406,0.0039215683937072754,1.1748051194039026,0.2860697431799788,0.40784314274787903,0.070588238537311554,0.69803923368453979,0.070588238537311554,0.14802139401435851,0.042994653704491528,0.27034875742010489,0.041625506436551801,0.23921568691730499,0.039215687662363052,0.078431375324726105,0.035294119268655777,0.078431375324726105,0.031372550874948502,0.073427617136835585,0.0076614841324123785,0.13510298967684509,0.0048700645473290375,0.31960785388946533,0.043137256056070328,383.50348799578114,382.87558431735135,255.98770900769946,255.32901831998743,0.0,0.0,382.78625954198475,255.05725190839695,0,387.0,389.0,260.0,264.0,0.0,0.0,88
1,89,84,224.0,262.0,1.0,1.0085573354317816,0.49109703073252003,1.0,0.76363636363636367,0.95708695942482225,11.148504879511185,10.770329614269007,4.4721359549995796,2.06956014325052,2.0,8.9442719099991592,9.711516969704908,-24.343166737398587,33.210000000000008,0.91304347826086951,0.88907244072024305,0.06704505646026987,0.085160195471287614,0.031945970545699351,0.037163044857946394,0.005967089083623223,0.048277021156826423,0.01079798848105114,0.016498337086835561,0.0050673513667146815,0.0067047455057466128,0.0051335677191805861,0.019624311393977707,0.0052882646733362843,0.013395280617012957,0.0041853928066980369,0.016192907863135871,0.0050236926514009945,0.0081082763483085775,0.0027322301755940848,0.011261719170192501,0.010309790386988421,0.0055618715941434119,0.0053322952348307485,0.02240445063594558,0.022829228634608161,0.0017896787348504416,0.0017367258940126765,0.0025551577551705508,0.015770176175729914,1,1,0,2.8627451658248901,1.109803956001997,20.796078935265541,3.4784314781427383,0.12156862765550613,0.039215687662363052,0.098039209842681885,0.0,0.014293231574991247,0.0026319931591777092,0.17254902422428131,0.043137256056070328,0.42745098471641541,0.050980392843484879,0.10602759873425519,0.041103850222296186,0.24757236827697074,0.041409898549318314,0.26274511218070984,0.043137256056070328,0.078431375324726105,0.039215687662363052,0.078431375324726105,0.035294119268655777,0.025825547377017286,0.0019594388902137139,0.11408677801081561,0.0023708614694409342,0.35686275362968445,0.043137256056070328,224.88063359929691,224.89515219821519,261.56402036977852,261.57271702355939,0.0,0.0,224.89285714285714,261.57142857142856,0,224.0,228.0,261.0,263.0,0.0,0.0,89
1,90,86,477.0,265.0,1.0,1.0122644043647313,0.45096785980099313,1.0,0.85999999999999999,0.92721677825008153,11.180333595769781,10.816653826391969,5.0,2.1099638916005086,2.0,9.0,9.9788970634470324,45.022029302545342,34.140000000000001,0.94505494505494503,0.91647287331825678,0.030484264259837229,0.064221224922159842,0.04857485306460637,0.018469889777672163,0.040647549107164699,0.032433797404952738,0.034399814546451489,0.04559965285150603,0.005090571934528311,0.02286247825209688,0.016654500970961619,0.0017169884193640821,0.021873024229612469,0.039318275483847219,0.00213743621765544,0.0085000661443611833,0.011702718584451459,0.01264820580373381,0.0087272461328134539,0.029447587005880582,0.014144095620323514,0.032626365170319381,0.0081437673543747393,0.014858813913398897,0.01534575967160625,0.0080868663839186155,0.010210237895508628,0.026389131330838252,0.019567001132829762,1,1,0,3.2078432217240334,1.1254902370274067,20.047059364616871,3.3098040446639061,0.12549020349979401,0.035294119268655777,0.10980391502380371,0.0,0.10652440166586959,0.036652463652086027,0.15294118225574493,0.043137256056070328,0.41960784792900085,0.043137256056070328,0.11061528350772529,0.038810008173358848,0.23310534144903339,0.038486093542603558,0.24705882370471954,0.039215687662363052,0.078431375324726105,0.031372550874948502,0.078431375324726105,0.031372550874948502,0.017937785761014038,0.0031481936532787346,0.10364908687238715,0.0028997924574524869,0.34313726425170898,0.039215687662363052,477.26271517580147,477.14336493079031,264.67644757559395,264.67061611073552,0.0,0.0,477.16279069767444,264.63953488372096,0,479.0,482.0,265.0,264.0,0.0,0.0,90
1,91,84,467.0,267.0,1.0,1.012331249509222,0.4913958072781956,1.0,0.76363636363636367,0.92418421644143112,11.170086263395673,10.440306508910551,5.0,2.0778021323472999,2.0,8.9442719099991592,9.728434382832754,14.870292305145671,33.796000000000006,0.91803278688524592,0.94707585874712519,0.038209888775553494,0.036409231569238927,0.048660846513996936,0.017160599910642373,0.039461447475398315,0.014033670475069902,0.032329843485570553,0.023746478074286693,0.011016541425395527,0.025807880716014656,0.022081954982617124,0.0015079988317886503,0.024711961703455489,0.014239962381850199,0.016444843523175507,0.021497360547700232,0.02157889561530494,0.017652391473839294,0.0014035480647618238,0.0051400184205371733,0.022744828020983373,0.013106944196370929,0.021530215406930855,0.0072454069661160823,0.023879527341352163,0.017747750383295999,0.018053060004132527,0.0038398072608924689,0.019674716771957295,1,1,0,2.678431436419487,1.0784314088523388,21.878431878983974,3.3764706999063492,0.11372549086809158,0.039215687662363052,0.13333333283662796,0.0039215683937072754,0.21808088980354695,0.046280326758514852,0.13333334028720856,0.043137256056070328,0.57647061347961426,0.047058824449777603,0.099201164311832846,0.039941904031568103,0.26045752236885683,0.040196079760789871,0.23529411852359772,0.039215687662363052,0.074509806931018829,0.031372550874948502,0.074509806931018829,0.031372550874948502,0.017980860704953822,0.0032085287897842961,0.15758146668890027,0.0028941144381096269,0.42352941632270813,0.043137256056070328,466.68488976776945,466.90360046247707,266.70263487884819,266.56678281442572,0.0,0.0,466.88095238095241,266.60714285714283,0,468.0,464.0,266.0,269.0,0.0,0.0,91
1,92,69,339.0,268.0,1.0,1.1494566985710541,0.80622600933943134,1.0,0.71875,0.85765767451906316,12.312731209941804,11.401754250991379,3.6055512754639891,1.7882510062146131,1.4142135623730951,6.640783086353597,7.2843060836503275,-12.919902325988508,31.796000000000006,0.90196078431372551,0.64641392271169806,0.08775303088044388,0.15399417925672615,0.091111985055029723,0.029412541751761789,0.02513121460852304,0.0091937515419565942,0.01776737342037223,0.024231675355433038,0.027005121592666725,0.0059459984925954064,0.0064911591883471424,0.001613783534169402,0.010228027998935546,0.0093929120140204634,0.0098731562450673199,0.014100412399811094,0.015916021651079703,0.018723410134999573,0.0030494403519238824,0.0036815662813774112,0.004813869746030386,0.0077126185618344549,0.014387951981499131,0.010049833912162354,0.0057632529214184597,0.003335077113594041,0.0042787184825481047,0.0072831464423334397,0.0030458452481008495,1,1,0,2.7921569272875786,1.7215686701238155,19.043137833476067,9.6862747967243195,0.10294117778539658,0.062745101749897003,0.11176470667123795,0.060784313827753067,0.10604869944110173,0.11264378012985367,0.24705882370471954,0.16862745583057404,0.65882354974746704,0.30588236451148987,0.10739065104952225,0.066214179620146751,0.27598750483298645,0.14038079415542493,0.20588235557079315,0.1196078434586525,0.070588238537311554,0.043137256056070328,0.070588238537311554,0.043137256056070328,0.037505341249806687,0.024449747390650964,0.19050692806281896,0.082566688022871995,0.43431372940540314,0.2186274528503418,340.03294891836987,340.23846154602916,267.75535419874603,267.76518218257263,0.0,0.0,340.13043478260869,267.79710144927537,0,337.0,338.0,269.0,268.0,0.0,0.0,92
