ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cytoplasm_Count,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensityEdge_PH3,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_PH3,Intensity_LowerQuartileIntensity_DNA,Intensity_LowerQuartileIntensity_PH3,Intensity_MADIntensity_DNA,Intensity_MADIntensity_PH3,Intensity_MassDisplacement_DNA,Intensity_MassDisplacement_PH3,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensityEdge_PH3,Intensity_MaxIntensity_DNA,Intensity_MaxIntensity_PH3,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensityEdge_PH3,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_PH3,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_PH3,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensityEdge_PH3,Intensity_MinIntensity_DNA,Intensity_MinIntensity_PH3,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensityEdge_PH3,Intensity_StdIntensity_DNA,Intensity_StdIntensity_PH3,Intensity_UpperQuartileIntensity_DNA,Intensity_UpperQuartileIntensity_PH3,Location_CenterMassIntensity_X_DNA,Location_CenterMassIntensity_X_PH3,Location_CenterMassIntensity_Y_DNA,Location_CenterMassIntensity_Y_PH3,Location_CenterMassIntensity_Z_DNA,Location_CenterMassIntensity_Z_PH3,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DNA,Location_MaxIntensity_X_PH3,Location_MaxIntensity_Y_DNA,Location_MaxIntensity_Y_PH3,Location_MaxIntensity_Z_DNA,Location_MaxIntensity_Z_PH3,Number_Object_Number,Parent_Nuclei
1,177,545,291.0,367.0,1.0,1.0958520189684184,0.45667622521947343,1.0,0.62788018433179726,0.62934366087026439,29.164194351861529,32.695565448543633,11.0,4.0083117552159244,3.6055512754639891,26.018136730250827,25.945428904603936,-10.710068209194512,104.31800000000004,0.87832393231265105,0.61698399662663239,0.026086123870939053,0.19817711445888786,0.023601190360047805,0.0061472156639304325,0.050020295796958721,0.017409379196847225,0.01106023691631219,0.035684296781119867,0.0063979471361534229,0.018098628354046502,0.016988443220624132,0.030122548603650039,0.0064955579889405465,0.017513508036319611,0.0058750792752639237,0.0050318011030452449,0.015633975613363549,0.013598079225803122,0.015837746758308881,0.0014728073510162463,0.005972789036986355,0.0058614819048712179,0.0049847325349646797,0.0039149159305330141,0.0025221854890604511,0.0051151941359084199,0.005919166127048201,0.0060357438841202741,0.0092351374611520046,1,3.5568628497421741,3.4352942295372486,53.831374175846577,22.070588950067759,0.043137256056070328,0.039215687662363052,0.0078431367874145508,0.0039215683937072754,0.99319508142125956,0.012266032841636881,0.054901961237192154,0.047058824449777603,0.32156863808631897,0.047058824449777603,0.041845445291084402,0.040415226229849985,0.098773163625406557,0.040496493486362861,0.047058824449777603,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.0047131135512784653,0.0029483818881465562,0.088027607140483993,0.0028599526833863478,0.14117647707462311,0.043137256056070328,291.69505353357886,291.27949537917408,366.64464194038732,367.53731343320112,0.0,0.0,291.2678899082569,367.54128440366975,0,290.0,286.0,366.0,379.0,0.0,0.0,177,177
1,178,267,421.0,367.0,1.0,1.1657516335977833,0.74192555105259517,1.0,0.50568181818181823,0.53287735281962056,23.434678226425746,25.238858928247925,7.0,2.8228080539177314,2.2360679774997898,18.121705946601562,15.712536294359642,48.720768674362759,79.350000000000023,0.75637393767705385,0.53365108491710955,0.04855084243879991,0.19283009951351071,0.067704488748665942,0.009338673849570104,0.025437668178753748,0.018746367193568893,0.023532934635948133,0.029510581937517117,0.011242904396034443,0.012783451629382603,0.0062140028866798491,0.026177889469314503,0.009088678522461556,0.01326353478675813,0.012211569995370932,0.0041150064352729618,0.0066559173267995327,0.019498119282664598,0.0052211650809682719,0.012131817669542745,0.010807919888179396,0.0030733010793011135,0.0052535286143035823,0.0062504588565468833,0.0034928729514525406,0.002524405719919002,0.01564478562858555,0.010674665302223895,0.0043276242816613101,1,3.4352941773831844,2.6117647923529148,29.937255773693323,10.643137615174055,0.050980392843484879,0.039215687662363052,0.011764705181121826,0.0,0.91819579528307727,0.018587822974844286,0.074509806931018829,0.047058824449777603,0.31372550129890442,0.047058824449777603,0.052850679652048989,0.040180996805429456,0.11212455345952556,0.039861938633610691,0.058823529630899429,0.039215687662363052,0.043137256056070328,0.035294119268655777,0.043137256056070328,0.031372550874948502,0.0061568032906246855,0.0030008638007293529,0.086824378207872852,0.002907313282659316,0.18529412150382996,0.043137256056070328,420.85472882057365,421.72070744378868,368.09064710149352,368.35114222698326,0.0,0.0,421.7303370786517,368.36704119850185,0,416.0,418.0,367.0,364.0,0.0,0.0,178,178
1,179,704,267.0,368.0,1.0,1.0443469924045092,0.54317818521757655,1.0,0.69019607843137254,0.6961263918260634,33.157332005052432,34.481879299133332,12.649110640673518,4.7531504615472846,4.1231056256176606,29.0,27.839474482895039,-62.973769458224275,112.73200000000004,0.91846053489889101,0.74519392777134319,0.029530026883213909,0.16388250130173981,0.050948832297805745,0.008502535019720793,0.037540013116873806,0.054365928366330703,0.0064291794411026641,0.01883165628275757,0.011835863037561034,0.0094726635756069537,0.011491674196394427,0.0057746583370354735,0.012092087182631207,0.0083380623237908711,0.020753744521198533,0.0080586268821067428,0.017556766417841825,0.0012519956973618095,0.0020272979334737162,0.011099773640944284,0.0045545584463787042,0.0050447141861645946,0.010386739323648368,0.0015384319303224081,0.0081333295190960768,0.0047990078678191144,0.0050925473925832656,0.00054006002597047835,0.0018657235238507073,1,3.7529412992298603,3.7529412992298603,65.968629453331232,28.62745189666748,0.039215687662363052,0.039215687662363052,0.0078431367874145508,0.0039215683937072754,0.82887233174286568,0.011470815981950667,0.047058824449777603,0.047058824449777603,0.36078432202339172,0.047058824449777603,0.040354207518600652,0.040354207518600652,0.093705439564390952,0.040663994171402672,0.047058824449777603,0.039215687662363052,0.035294119268655777,0.031372550874948502,0.031372550874948502,0.031372550874948502,0.0031277867687711752,0.0027926155940022766,0.088863411816232821,0.0028961844933312526,0.10980392247438431,0.043137256056070328,266.90280585382146,266.66328767019775,366.85061230025678,367.64260273954483,0.0,0.0,266.65198863636363,367.640625,0,268.0,272.0,369.0,365.0,0.0,0.0,179,179
1,180,449,223.0,366.0,1.0,1.0726835887014274,0.61691365537419296,1.0,0.61931034482758618,0.64221498861296944,27.556105500629485,30.083217912982647,10.0,3.8056715834045076,3.1622776601683795,22.47679215473174,21.687504836561327,35.864394144695801,93.732000000000042,0.876953125,0.6287605637934478,0.1069081373650851,0.16893742733829487,0.034451250782600883,0.021312474163696023,0.0066520846378706261,0.0149818292239481,0.022495502041020868,0.033467816656069425,0.031760816004002046,0.018241734573544666,0.021524288467475478,0.0056960796213230283,0.0077433195935057058,0.0024947695168377132,0.014330486151229414,0.0077371121389939517,0.0097165072497321786,0.0074645114049867256,0.002148721665629912,0.00057902555883350383,0.0080698138384602425,0.0083072963553022395,0.0068757529736254864,0.0075544363087345816,0.010421211276022245,0.0042928412997263353,0.0066767197102577088,0.00029047733948781246,0.0048597110084788661,1,3.7411765679717064,3.031372644007206,45.772550448775291,18.364706460386515,0.043137256056070328,0.039215687662363052,0.011764705181121826,0.0039215683937072754,2.8983653153912168,0.045121193674354271,0.13725490868091583,0.047058824449777603,0.33725491166114807,0.047058824449777603,0.05055644010772576,0.040964495189286569,0.10194331948502292,0.040901350691283998,0.050980392843484879,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.017931148309840703,0.0027459980150287993,0.087340619273232667,0.0027824627443026246,0.15980392694473267,0.043137256056070328,224.87979780957733,223.03907751328887,368.82325223628192,366.63805252647654,0.0,0.0,223.02672605790647,366.59465478841872,0,224.0,232.0,368.0,373.0,0.0,0.0,180,180
1,181,325,391.0,372.0,1.0,1.0757528905559739,0.70191297245042183,1.0,0.74370709382151035,0.7239704327582076,24.35046751800505,24.186773244895647,8.6023252670426267,3.4005306684331997,3.0,17.454336027298378,17.343930173014588,27.18488170729816,75.108000000000018,0.90403337969401942,0.70203933000855856,0.095442409869829797,0.14782459602273071,0.071729788576867473,0.020702507707700685,0.012459053830230072,0.024949632454724917,0.0043158343263102524,0.024790681186391057,0.036633664887938303,0.0091863531106322893,0.012586279859622251,0.0029904943338151927,0.007156946628116361,0.0027045227249983686,0.013179991329785914,0.0070552352840064416,0.009993154863727885,0.007024973848185719,0.0084684485194482621,0.0075387140562320461,0.0043028471970204272,0.003544305271660394,0.0088547540355869408,0.004654755161623011,0.011370669231180366,0.0055803963186948254,0.0058395014111112878,0.0036111094663317357,0.0068670403334023036,1,3.1725490912795067,2.4941177293658257,51.643138572573662,13.184314150363207,0.054901961237192154,0.039215687662363052,0.037254903465509415,0.0,0.59784719694192612,0.067322607500449133,0.070588238537311554,0.050980392843484879,0.47058823704719543,0.050980392843484879,0.051170146633540428,0.040227705312352029,0.15890196483868818,0.040567120462656023,0.084313727915287018,0.039215687662363052,0.039215687662363052,0.035294119268655777,0.039215687662363052,0.035294119268655777,0.0076971689353001983,0.0032227042235619422,0.1276360899208982,0.0028973348297061125,0.28921569883823395,0.043137256056070328,392.49502619997145,392.30577036873723,372.72533981370975,372.19898869588417,0.0,0.0,392.24000000000001,372.18461538461537,0,394.0,404.0,374.0,371.0,0.0,0.0,181,181
1,182,462,485.0,376.0,1.0,1.1168268855712542,0.67229304962423464,1.0,0.64166666666666672,0.63213903427856255,29.167644189528332,29.832867780352597,9.8488578017961039,3.7452017403648576,3.1622776601683795,22.749471676029348,21.592372910671902,9.0230783231020855,95.834000000000032,0.88083889418493799,0.65305566244760049,0.041464579693686089,0.17265454616057871,0.067988981349323629,0.016867516324337986,0.055357019219577017,0.01670317731393809,0.015360798475718501,0.021197457202178319,0.021525925416800033,0.016815486857673111,0.023164792238273883,0.015709554600495963,0.015896236543093203,0.0072342837952027736,0.0092328132106760021,0.00098199741291317335,0.0068706540442834575,0.0057090167109768424,0.0066975685697190177,0.0025505392218723973,0.013525862978837544,0.0085283145417734164,0.0092125612056096293,0.0035695217308947935,0.0041887655513634424,0.0053990832081428578,0.0075858592126259155,0.0030375519780223739,0.0013443293731555052,1,3.780392237007618,3.0431373678147793,39.89411836117506,17.768628112971783,0.047058824449777603,0.035294119268655777,0.0078431367874145508,0.0,1.1146430692842499,0.029583761352211118,0.062745101749897003,0.043137256056070328,0.25882354378700256,0.047058824449777603,0.047853066291235667,0.038520726174870623,0.086350905543668963,0.038460234010761436,0.050980392843484879,0.039215687662363052,0.039215687662363052,0.031372550874948502,0.039215687662363052,0.031372550874948502,0.0050452524165814812,0.0027736339959491076,0.065083747584868998,0.0027419128053522606,0.08235294371843338,0.039215687662363052,484.04521772746966,483.04921650603609,375.65113535303084,376.11255793276291,0.0,0.0,483.02380952380952,376.09740259740261,0,482.0,483.0,377.0,378.0,0.0,0.0,182,182
1,183,323,246.0,386.0,1.0,1.248554754212686,0.84376434709844572,1.0,0.56468531468531469,0.53831040195622637,28.27896211899056,29.154759474226502,7.0710678118654755,3.006618595037633,2.8284271247461903,17.335287569635273,15.177709836853239,54.024782531985799,86.834000000000032,0.8433420365535248,0.48383102699936187,0.055645825220073886,0.17875402073448624,0.074777088023534749,0.039784012784542709,0.023694936304716103,0.016766611276849232,0.036681641219398375,0.026583779086986181,0.0069862972646239944,0.022518006059142445,0.0078967390740621972,0.0046550437545264268,0.0081111786215104648,0.0058838752253001841,0.015306406357420957,0.014279781737056635,0.006981195695819788,0.0050022595704938512,0.0061149085776918532,0.0021767834986194845,0.010210542881514592,0.006610126300705216,0.0085420400268491504,0.0086425822861686801,0.007172761684688396,0.011739922419956967,0.0091876379400004076,0.0062857071957476305,0.003757655669474651,1,3.0784314647316933,2.7921569496393204,31.482353784143925,13.192157279700041,0.039215687662363052,0.039215687662363052,0.011764705181121826,0.0039215683937072754,3.0654202543814906,0.034469875943608612,0.074509806931018829,0.047058824449777603,0.30588236451148987,0.047058824449777603,0.045271050951936669,0.041061131612342948,0.09746858756700906,0.040842592197213749,0.050980392843484879,0.039215687662363052,0.031372550874948502,0.035294119268655777,0.031372550874948502,0.035294119268655777,0.0098484302036635375,0.003042884699431063,0.081066099165399252,0.002814793280745759,0.16568627953529358,0.043137256056070328,243.30505729913341,244.76159334154431,380.70378674251066,383.43370986607215,0.0,0.0,244.76470588235293,383.39938080495358,0,243.0,245.0,377.0,381.0,0.0,0.0,183,183
1,184,285,378.0,380.0,1.0,1.2271864009139528,0.82040833134194102,1.0,0.64772727272727271,0.56880166874004445,25.955136328320432,25.80697580112788,6.7082039324993694,2.86948576876609,2.8284271247461903,15.20526224699857,14.84057795003919,60.234137519910817,79.350000000000023,0.87423312883435578,0.54485476013441647,0.03940660060867552,0.17484380928184634,0.090178390819661294,0.028017191547778247,0.011291805063133096,0.0076931679509451689,0.041174462069323924,0.034839856915018785,0.00088639992959691351,0.0045807765097204845,0.0063088776892197143,0.0093193059901600112,0.0077626071069103672,0.0091802894316413992,0.021423752078219095,0.012033222988867921,0.0079646417397438614,0.014708667623064858,0.0028571410632759553,0.002549229663281053,0.013047462229454371,0.0086475400976104115,0.0063580129855979372,0.0093689371525634002,0.0072312364610041275,0.0099106117908183272,0.0055004244887639983,0.0063480914171204208,0.0015137467432922397,1,3.8666667565703392,2.5803922414779663,31.917647775262594,11.466667044907808,0.050980392843484879,0.039215687662363052,0.019607845693826675,0.0,0.84046685333772919,0.042997720505240686,0.18823529779911041,0.047058824449777603,0.30980393290519714,0.047058824449777603,0.06041666807141155,0.040318628773093224,0.11199174657986875,0.04023391945581687,0.062745101749897003,0.039215687662363052,0.039215687662363052,0.035294119268655777,0.039215687662363052,0.035294119268655777,0.033128834093626838,0.0028974484590478409,0.078053544707986061,0.0026968680593129732,0.18823529779911041,0.043137256056070328,375.75426955925349,376.37653898888573,376.76790760409182,376.25854992780376,0.0,0.0,376.38947368421054,376.21754385964914,0,374.0,372.0,377.0,379.0,0.0,0.0,184,184
1,185,444,437.0,381.0,1.0,1.2814804150401173,0.83229911414569147,1.0,0.57290322580645159,0.54951814289984358,33.321220613567576,34.058772731852805,8.9442719099991592,3.3926680537619855,3.0,19.996922840200266,18.470845095711798,-58.288587775230873,100.76400000000002,0.82222222222222219,0.4873434119503553,0.033110099253491974,0.17848819991266587,0.080839958058757835,0.034994807634278181,0.017789142465248587,0.018012379772055265,0.037558438007566378,0.030847311639256435,0.006175801406968824,0.021259562648128956,0.0076266867959207821,0.0050846755089051987,0.0071076955830809306,0.014564080484932932,0.014193614634193075,0.016316349074176558,0.021443969800814391,0.0096044112253148121,0.0015705284748610661,0.0026447035846669585,0.0077619519577607279,0.0047791131161771987,0.0073196646371271878,0.0072774829151985038,0.0059035227312495943,0.0052504016402642609,0.0072453471766736367,0.0030176985125939582,0.0022471043430377256,1,4.415686372667551,3.4509805031120777,40.858824294060469,17.603922173380852,0.047058824449777603,0.039215687662363052,0.0078431367874145508,0.0,0.89520606761033317,0.059001332403490196,0.094117648899555206,0.050980392843484879,0.26274511218070984,0.050980392843484879,0.051949251443147659,0.040599770624847972,0.092024379040676729,0.039648473363470389,0.054901961237192154,0.039215687662363052,0.039215687662363052,0.035294119268655777,0.039215687662363052,0.031372550874948502,0.0092977699772586238,0.0033871564011967257,0.065711777113681757,0.0029753785489927205,0.12941177189350128,0.043137256056070328,440.66810633862605,439.86077077380855,377.84125156241913,378.18712408657154,0.0,0.0,439.86936936936939,378.2454954954955,0,444.0,442.0,377.0,367.0,0.0,0.0,185,185
1,186,276,363.0,377.0,1.0,1.2583090649596342,0.82813873939580984,1.0,0.52173913043478259,0.64341352487743586,25.989119406339757,26.076809620810597,6.4031242374328485,2.8189203798496481,2.8284271247461903,13.800000000000001,14.567503692635853,53.573071421147766,73.42000000000003,0.87619047619047619,0.51678546227486,0.025532244413091643,0.17820947953127078,0.087552177132545803,0.025815391137679028,0.010474459609096124,0.002844769078477053,0.05670716966434125,0.016075367452472386,0.0086273651516162175,0.013655858741128438,0.0094613478492919095,0.0016863209487375937,0.0089096619518995671,0.0026417609773136787,0.016152960803730569,0.0070353940024615817,0.0086487569565077901,0.0086346439888334466,0.0047752015116372063,0.0021058315597502326,0.013737352778810327,0.010639084156171401,0.0088331595149471389,0.011842295294342994,0.0083820313651162201,0.0095408203242790274,0.0008844369840780551,0.0063765811056950752,0.0022923916895746135,1,3.4470589198172092,2.3764706663787365,30.701961699873209,11.105882719159126,0.047058824449777603,0.039215687662363052,0.011764705181121826,0.0,1.3774866181628511,0.017153027953340182,0.17647059261798859,0.047058824449777603,0.37254902720451355,0.047058824449777603,0.058424727454528973,0.040279163836927735,0.11123899166620728,0.04023870550419973,0.054901961237192154,0.039215687662363052,0.039215687662363052,0.035294119268655777,0.035294119268655777,0.031372550874948502,0.02960010649763169,0.0028727393149760106,0.097856052958378667,0.002744868410656966,0.16078431904315948,0.043137256056070328,365.17997190545918,364.22139830504921,379.40605440795161,380.4120762695988,0.0,0.0,364.22101449275362,380.39492753623188,0,364.0,369.0,377.0,376.0,0.0,0.0,186,186
