ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_CorrGray,Intensity_IntegratedIntensity_CorrGray,Intensity_LowerQuartileIntensity_CorrGray,Intensity_MADIntensity_CorrGray,Intensity_MassDisplacement_CorrGray,Intensity_MaxIntensityEdge_CorrGray,Intensity_MaxIntensity_CorrGray,Intensity_MeanIntensityEdge_CorrGray,Intensity_MeanIntensity_CorrGray,Intensity_MedianIntensity_CorrGray,Intensity_MinIntensityEdge_CorrGray,Intensity_MinIntensity_CorrGray,Intensity_StdIntensityEdge_CorrGray,Intensity_StdIntensity_CorrGray,Intensity_UpperQuartileIntensity_CorrGray,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Z_CorrGray,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CorrGray,Location_MaxIntensity_Y_CorrGray,Location_MaxIntensity_Z_CorrGray,Number_Object_Number,Parent_Comet
1,1,4885,381.0,50.0,1.0,1.6532945237955021,0.89872161122007732,0.0,0.65924426450742235,0.24952529716903138,131.12257082591879,129.31357237351384,24.515301344262525,8.0984583034998074,6.0827625302982193,54.549804894251324,57.499821188010877,-2.1400788979143446,495.99799999999846,0.78606484833856283,0.37131765401607253,0.023414915780340044,0.14045497039262403,0.078363904007107063,0.034860097143217396,0.0064825240818463447,0.04422157991042041,0.039099272942012521,0.026504847310316066,0.0035749526182244887,0.023578871968513493,0.0034147515825265328,0.023949950489012543,0.00026902424159634978,0.0034007582472564547,0.010480808749771486,0.0089479511650885565,0.010490157451484645,0.013392837570168653,0.0020326057599897029,0.00055057551319783122,0.0016203649087056494,0.019174015384772661,0.0087832925004308407,0.0048167721016062794,0.0014840183985128999,0.0017954075356737579,0.0091730798295939307,0.0082530544972750485,0.0012079211176099023,59.345099326223135,676.92159120738506,0.078431375324726105,0.035294122993946075,12.101083156756019,0.50196081399917603,0.50196081399917603,0.14265648876495945,0.13857146186435723,0.10980392247438431,0.039215683937072754,0.039215683937072754,0.16692772466573416,0.091818087102688087,0.15686275064945221,345.01899041466862,51.859490773861843,0.0,357.11320368474924,51.4517911975435,300.0,59.0,0.0,1,1
1,2,4657,397.0,155.0,1.0,1.6510411381097567,0.89333378435606037,0.0,0.67610336817653893,0.28419084777421794,127.42702687066016,123.04470732217619,23.345235059857504,7.8903173658930941,6.0827625302982193,55.0,57.264910475991087,-1.8143183997986836,453.78799999999865,0.78479946073474904,0.39164310170618583,0.026669923485243743,0.13476696967555452,0.084417141798893022,0.03041705928233784,0.014253061614620097,0.042633008062962816,0.03329863789758665,0.028257740075060638,0.0055370171335047194,0.026817272816736664,0.0068728549688257274,0.025611486191829066,0.0058210047206943769,0.006566316349345935,0.011115501608645436,0.0095723819272058568,0.01676986879732963,0.01559064615535348,0.003146629667988021,0.0024348972471557998,0.0014285507781169368,0.023405555265476156,0.009779479801475071,0.0046666295767493603,0.0060182654151327928,0.0045219232426238851,0.013581129691066403,0.0074764656282638548,0.0010789130670543674,57.121569652110338,581.00786053016782,0.070588238537311554,0.027450978755950928,12.105385561322086,0.51372551918029785,0.51372551918029785,0.14722054034049056,0.12476011606832034,0.094117648899555206,0.035294119268655777,0.035294119268655777,0.16846428818388959,0.089774026582668642,0.12941177189350128,362.15025955664038,155.83679474194184,0.0,374.25402619712258,155.63882327678763,348.0,166.0,0.0,2,2
1,3,4187,740.0,439.0,1.0,1.8841795821960368,0.92300392188966174,0.0,0.66239519063439334,0.23569660076914459,132.06554804009227,128.191263352851,21.023796041628639,7.0760500420398911,5.0990195135927845,47.023600763247899,50.817573632029081,-0.94792520188822005,472.47599999999875,0.7643300474625776,0.32423338076736802,0.019414795832866736,0.12382961631423915,0.074240171859897272,0.03069327702806739,0.0080523940706803982,0.0484590914161947,0.038336011309579747,0.029680601660563702,0.0046230401484439309,0.021803702440127672,0.0046119535737408675,0.026806068850922675,0.0068812551460368755,0.0087395000413203819,0.014025468956923966,0.0046776344138821343,0.012898207130312384,0.013446098765186022,0.0032326598481125447,0.0064166700849498581,0.00082156560763571693,0.011539350893009451,0.0037402436650783273,0.0072611557767997513,0.0017149623966152031,0.0038816159616140013,0.010096488799127827,0.0093163443577589222,0.0026675623230296855,58.898040674626827,525.3451166190207,0.070588238537311554,0.027450986206531525,10.633629945127192,0.50196081399917603,0.50196081399917603,0.14400498942451548,0.12547053179341311,0.098039217293262482,0.039215687662363052,0.039215687662363052,0.16391779160912409,0.08611277164776307,0.13333334028720856,717.68536099463745,440.49368855982323,0.0,728.31526152376398,440.21208502507761,677.0,431.0,0.0,3,3
1,4,4811,779.0,610.0,1.0,1.6202104536136928,0.88935234748531444,0.0,0.66597452934662238,0.27734227684736057,127.92418592175434,128.24975633505119,26.0,8.5095745674326491,6.324555320336759,54.955270102714053,58.489814351204217,-2.7043402957081355,466.88999999999885,0.79382889200561013,0.37241947043536394,0.031860213718406007,0.14225110089937779,0.075453910010290393,0.037931561865644114,0.0094052462724894346,0.041418934636321146,0.035112500379405567,0.026893611900192647,0.0061177284127773247,0.020187562644019958,0.0045278440748212781,0.019653695345284092,0.0063654128240992524,0.0042698640963534278,0.011657212849274689,0.0051874913186926832,0.010814565208376313,0.011139155629022887,0.0028453137896150911,0.0006022418939931344,0.0081356200341188966,0.019597030428631795,0.0065208002740581167,0.0056789738175712211,0.0031766142342868138,0.0066027234995314366,0.010448942639663727,0.0074108335534530407,0.002028678780897842,61.078432723879814,689.76080751791596,0.08235294371843338,0.039215691387653351,8.6930051759606091,0.4901961088180542,0.4901961088180542,0.1511842394155441,0.14337160829721804,0.12156863510608673,0.039215687662363052,0.039215687662363052,0.16929633871629776,0.08918376455012654,0.16470588743686676,751.23433540178519,611.62790737472449,0.0,759.92725005196428,611.58823529411768,732.0,600.0,0.0,4,4
1,5,6364,425.0,871.0,1.0,1.5609947007192642,0.81058295000260705,0.0,0.61045563549160675,0.23564687988326913,137.01674576540191,138.23168956501979,33.060550509633082,9.8461818019102374,7.2801098892805181,73.877487944349397,80.240272704532615,4.1935143868923701,582.55799999999806,0.72408692684036879,0.42379473426587433,0.064464287231995446,0.12382541005727454,0.078261604046918148,0.053568224268847026,0.016945661767856477,0.018955112086968286,0.007210202139564169,0.024025122413126893,0.017521775045242525,0.021108756488746567,0.0052485428056902499,0.0044468073952016463,0.030679618525044878,0.015591177318055181,0.0093874896728000871,0.0044264999668643008,0.0096896667714381716,0.0075859938215056648,0.001772542127493326,0.010138857920688395,0.017953340764830034,0.023930139664656833,0.013196410781807928,0.0037469091818072096,0.0035205180145527143,0.0062529143519024716,0.0027657147440267641,0.0036000021063902917,0.0010436494395175738,83.098041219636798,1016.8000341821462,0.090196080505847931,0.054901964962482452,7.5895465152915698,0.55294120311737061,0.55294120311737061,0.16889845776348944,0.15977373258676086,0.14117647707462311,0.023529412224888802,0.023529412224888802,0.17944372357524496,0.092694524859557037,0.20000000298023224,402.8234523871302,871.50121487553372,0.0,410.41247642991829,871.41216216216219,391.0,890.0,0.0,5,5
1,6,5014,814.0,987.0,1.0,1.6128074188370127,0.869488898536248,0.0,0.6528645833333333,0.25568759071721514,128.4529212125924,127.3184982632139,27.294688127912362,8.8549531952489531,6.7082039324993694,58.408319504032008,63.449639363406206,-2.0388491370009523,496.41199999999844,0.75912187736563219,0.39383239218396709,0.047544498483875583,0.13220018814110415,0.080762375665850455,0.044113923303236324,0.012989642918915025,0.035149418921791166,0.026537541848688419,0.025734143435420544,0.0081118820073467057,0.023565576686185599,0.0031972763476505145,0.023149084155745854,0.016797001958601038,0.0057924156744740499,0.0087173789482517718,0.0044015313608426034,0.013911623685285295,0.010622994643364527,0.00022403064053978751,0.0031418759536928687,0.0076400545624004095,0.024399333795170324,0.011556972505205458,0.003341983523390451,0.0051127362768498448,0.009390134284545968,0.0077296878708248374,0.0052343572320090806,0.0010604877891114695,65.078432939946651,739.69414367154241,0.086274512112140656,0.043137259781360626,8.6189717562667347,0.4901961088180542,0.4901961088180542,0.1542142960662243,0.14752575661578429,0.12941177189350128,0.035294115543365479,0.035294115543365479,0.17153614231173753,0.088668206459049118,0.17254902422428131,783.10337620393,988.30393062211533,0.0,791.70981252493016,987.83925009972074,737.0,979.0,0.0,6,6
2,1,1906,1135.0,114.0,1.0,1.3626798721581159,0.63335554347621947,-1.0,0.50423280423280425,0.12097365918281919,64.261209037932034,69.06518659932803,14.317821063276353,4.6756594470148958,3.1622776601683795,52.637467362108424,49.729239676897997,-1.9674380542948107,444.95999999999879,0.67361724686340341,0.5077902984367102,0.039401938117383135,0.15040783079062564,0.044980654161793816,0.049040203694103203,0.011470187995364813,0.021014376257176642,0.014655286387032932,0.013767316103106992,0.026497645552894054,0.012375987868607398,0.0071519855235152889,0.0094614246760256378,0.011725003762557829,0.00095798899970856225,0.0045569252400053436,0.021580763009966506,0.024425773422371368,0.0050002750280149187,0.0041706815543906079,0.0005411433863328649,0.017184915422740241,0.011900205717887547,0.0035945878013593857,0.0037882534731018642,0.016409980286106195,0.0069902626381627749,0.0073477798340813531,0.0016284049638453783,0.0035603250209822828,82.239217344671488,537.03138595540076,0.20784313976764679,0.058823525905609131,0.34432254431336773,0.47450980544090271,0.49803921580314636,0.21872132272519013,0.28175833470902456,0.32156863808631897,0.0,0.0,0.17362370216585205,0.12219307155645938,0.36862745881080627,1126.79167972439,110.25260873944083,0.0,1126.7056663168939,109.91920251836306,1147.0,109.0,0.0,1,1
2,2,809,385.0,382.0,1.0,4.2042555490988809,0.51714827998697033,0.0,0.29418181818181816,0.10497608533555172,70.629171148188107,55.605755097831377,4.4721359549995796,1.904533228353791,2.0,48.066620434559368,60.451212430605757,-24.185255066114912,311.19599999999923,0.36697663869358133,0.33282221426209402,0.037415467810593371,0.14129820867056025,0.038621713705832519,0.02000848708057382,0.0055553894415593559,0.041194770335655287,0.038040325285244148,0.0054358953458830449,0.02751704678807108,0.0059794115214460231,0.0033106891800386571,0.071562358833455839,0.015088738426034179,0.0054762859826106543,0.0078744855756147907,0.0029349664009999696,0.008935741263835402,0.0025682814559086333,0.0050641181882028173,0.0082307208144375109,0.012029316019913064,0.0085077717640826729,0.0043956259137158749,0.0053731759000846986,0.017268057510645769,0.004791795891184265,0.0029952678941339551,0.0029637956560707238,0.0047377846377309593,47.733334528282285,137.71765084378421,0.074509806931018829,0.086274504661560059,0.35672945860065358,0.41568627953529358,0.41568627953529358,0.1808080853344026,0.17023195407142672,0.14901961386203766,0.019607843831181526,0.019607843831181526,0.15704220440368169,0.10912174352137405,0.25784315168857574,364.75679138843645,385.28073922591034,0.0,365.05191594561188,385.08034610630409,378.0,394.0,0.0,2,2
2,3,917,776.0,584.0,1.0,3.280492665096423,0.62114325543633009,0.0,0.35134099616858239,0.13125678415365574,68.82147710162522,57.870545184921149,5.0,2.0850644746300229,2.0,43.323203944306798,53.935188144178987,-9.9492254055154508,296.29799999999932,0.45918878317476214,0.34862963945122249,0.01034896039062949,0.05070446323150838,0.047769374438834458,0.018557035464560768,0.0048141730795270505,0.10321486627562303,0.040476030010878218,0.014863405960659768,0.018347769187951706,0.011656784302380875,0.0021570261743784611,0.019425303554675755,0.029333590171315815,0.023415275900311557,0.0084789391707936982,0.013572490145494831,0.0045473242487939014,0.0084886934093038185,0.0019153907704984421,0.036314165267438393,0.027333799449393927,0.010761874057238626,0.0097509940864049099,0.0050822178768438649,0.015731911445548152,0.011542865490870377,0.0016074553181405365,0.0035120981462605258,0.0020601882246908516,50.003922471776605,186.50980885513127,0.090196080505847931,0.10980392247438431,0.49221268685542846,0.43921568989753723,0.43921568989753723,0.19842826377689129,0.20339128555630454,0.19215686619281769,0.019607843831181526,0.019607843831181526,0.17406433174242505,0.1213323802803295,0.31372550129890442,751.55258621067526,586.32657695510397,0.0,752.04471101417664,586.33587786259545,768.0,575.0,0.0,3,3
2,4,1320,937.0,651.0,1.0,4.5734296506029706,0.62340817938479509,0.0,0.23280423280423279,0.067754000966033803,97.535419952535634,89.067390216621931,6.0,2.0171719709430915,2.0,60.811183182043088,76.262610046100008,-30.783819196404654,494.7939999999985,0.32713754646840149,0.21185884268882071,0.010063649389922869,0.0056281719528462693,0.024605656952348356,0.035220424983293412,0.0056556394064877511,0.043587638586353269,0.0092983458289254608,0.012419744427909503,0.037100951400635164,0.025128426580876932,0.0019250261549809485,0.0030381230961836433,0.015963624624498296,0.0087903369175890023,0.0078660749934927835,0.012583246840496741,0.0074794261878655373,0.0093803729734910843,0.00079940354785896378,0.0095445212625392007,0.01153923239732383,0.0091957704049917682,0.0078217307309172007,0.0042645268788983831,0.019247451326543555,0.015727775372293133,0.003543215951404644,0.0070784745825422683,0.00032325250870731022,78.384315526112914,227.06275113485754,0.062745101749897003,0.082352947443723679,2.9366553382566059,0.42745098471641541,0.42745098471641541,0.18797197967892784,0.17201723570822541,0.13725490868091583,0.015686275437474251,0.015686275437474251,0.16172783535355931,0.11798884705690287,0.26666668057441711,906.44671076780901,657.60738155652302,0.0,909.11818181818182,656.38787878787878,930.0,639.0,0.0,4,4
