ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_CorrGray,Intensity_IntegratedIntensity_CorrGray,Intensity_LowerQuartileIntensity_CorrGray,Intensity_MADIntensity_CorrGray,Intensity_MassDisplacement_CorrGray,Intensity_MaxIntensityEdge_CorrGray,Intensity_MaxIntensity_CorrGray,Intensity_MeanIntensityEdge_CorrGray,Intensity_MeanIntensity_CorrGray,Intensity_MedianIntensity_CorrGray,Intensity_MinIntensityEdge_CorrGray,Intensity_MinIntensity_CorrGray,Intensity_StdIntensityEdge_CorrGray,Intensity_StdIntensity_CorrGray,Intensity_UpperQuartileIntensity_CorrGray,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Z_CorrGray,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CorrGray,Location_MaxIntensity_Y_CorrGray,Location_MaxIntensity_Z_CorrGray,Number_Object_Number
1,1,781,314.0,53.0,1.0,1.0155589278562995,0.52996120954866321,1.0,0.7920892494929006,0.89181916600414668,34.292607321943215,33.955853692699293,14.317821063276353,5.4457049495124723,5.0,28.0,29.080881481180906,11.764275395886605,104.90400000000004,0.95828220858895707,0.85939284612245181,0.023661396517896987,0.10820071479595603,0.061187102478053063,0.015420218913651492,0.014962397974677383,0.059648402563990323,0.028340689094581852,0.0036650954182912885,0.0077644106937374505,0.0023337255566540397,0.0049676092303651918,0.016676366244451853,0.002207075615915528,0.010092869380982096,0.0067149483407681091,0.003774311537727905,0.0082565295902209141,0.0074690737972499038,0.0061323301805919798,0.0067883628829918698,0.0099447941401948989,0.0086480863501177223,0.0031347805257983291,0.0027537552858058734,0.0012791269447643557,0.00697833609746138,0.0038559955203404405,0.0041093633218915885,0.0018452011347030648,45.301962733268738,592.33334392309189,0.60000002384185791,0.16862744092941284,0.18971471321319044,0.58039218187332153,0.99215686321258545,0.50901081722773867,0.75842937762239682,0.74117648601531982,0.45882353186607361,0.45882353186607361,0.02590744844025936,0.17763092494816041,0.98725490272045135,315.01428714479715,53.161620712587393,0.0,315.20230473751599,53.186939820742637,0,305.0,53.0,0.0,1
1,2,768,335.0,157.0,1.0,1.0125781076306195,0.5013017284322554,1.0,0.77890466531440161,0.89690321611783608,33.668956824979794,33.241540277189323,14.317821063276353,5.4012655625595549,5.0,28.0,29.13282395827914,89.370062533731115,103.73200000000004,0.95820336868371792,0.87320006840973841,0.051487464419623458,0.095413284974551829,0.051579920931930541,0.022123267791022118,0.010820175654673735,0.051473721024805207,0.021061493248799107,0.0079757001634063619,0.0097475929761120846,0.0067711827370470915,0.0075798159141237872,0.017125790617416019,0.0013148659032686163,0.012496615459940645,0.0043292781194798199,0.016986017363371245,0.0094503220781901043,0.0049110899639200718,0.0056020876084038372,0.0017239940369957838,0.003620843203341361,0.0075398810561199516,0.0025408332750206548,0.0030950451090343018,0.010618848834289346,0.0028014126821158647,0.0022930197112368245,0.0042894902984428676,0.0039664217994935819,44.776472508907318,603.37255817651749,0.61960786581039429,0.19999998807907104,0.14732909793049015,0.56862747669219971,0.99215686321258545,0.50882355123758316,0.78564135179234051,0.78823530673980713,0.45882353186607361,0.45882353186607361,0.023494113572873104,0.18203574034578288,0.99215686321258545,335.4743013195947,156.21960872941077,0.0,335.58723958333331,156.125,0,335.0,164.0,0.0,2
1,3,768,687.0,441.0,1.0,1.0986258411364866,0.76257699837752513,1.0,0.75739644970414199,0.8075840425497347,38.932248534820346,38.209946349085598,12.649110640673518,5.0884400309979787,4.4721359549995796,24.607315985291855,25.185172622794028,5.0013477949486127,109.31800000000005,0.95226286422814632,0.66241906042171927,0.02329995782027439,0.17870401967349078,0.099010459113391,0.0092104320143063054,0.0050470817954045869,0.022042622159060041,0.011003196100772491,0.027979740120364627,0.0055688856075897381,0.0097057865673654074,0.0044313302749266871,0.023230894400021393,0.026808493585912391,0.011647298227499318,0.0081061196978433944,0.0058801664881098104,0.0051518962547375353,0.0059073779030119882,0.0022793538939403415,0.0012617612738675353,0.0022066483633357151,0.011215890848655263,0.011206810671336611,0.0020725992682336459,0.0036664939111975595,0.0022038784450408152,0.0041454879426839923,0.0028401023229634587,0.001404959257552023,47.490198224782944,644.10588923096657,0.66274511814117432,0.0078431367874145508,0.25575806441061349,0.60000002384185791,0.98823529481887817,0.51619780679111893,0.83867954326948768,0.98039215803146362,0.46666666865348816,0.46666666865348816,0.029678913640008971,0.18311478120946517,0.98823529481887817,688.46152443009498,441.61335061808671,0.0,688.70703125,441.54166666666669,0,689.0,444.0,0.0,3
1,4,840,723.0,612.0,1.0,1.0811419471599675,0.72802294233290821,1.0,0.76923076923076927,0.81114889526074185,39.673625445823703,39.293765408776999,13.601470508735444,5.3270856905127628,5.0,27.0,27.198363675136164,-11.577711100062219,114.07600000000004,0.95454545454545459,0.69269508910462241,0.038909710652381982,0.16956331489709497,0.092420703356177622,0.0094272371776893456,0.017045945689663951,0.030783485535312467,0.0064457968874182033,0.02340415431274499,0.01811981816063753,0.012078079203813093,0.0048975449293875636,0.01570234584579315,0.022627126760680787,0.014246394769208829,0.0098334948453196024,0.004795775918743893,0.0083175578273669282,0.0041054924488992395,0.0012947289728967343,0.003367528300259486,0.005024956454008132,0.0064514196094430879,0.0098164084147107332,0.0063622713312245912,0.007224198164217507,0.0075749268267533004,0.006914831352596326,0.0042734216989741922,0.0031211604578702734,49.431374847888947,648.4353049993515,0.61960786581039429,0.15294116735458374,0.30974599019676702,0.57254904508590698,0.98823529481887817,0.5096018025555562,0.77194679166589464,0.79607844352722168,0.43921568989753723,0.43921568989753723,0.027060505866981732,0.16800043167352152,0.92549020051956177,719.38746063587473,613.01017833308276,0.0,719.66785714285709,612.87857142857138,0,711.0,620.0,0.0,4
1,5,1938,371.0,877.0,1.0,1.0580842431681572,0.69261578559304249,1.0,0.73076923076923073,0.85779684762757324,58.567409254964453,58.008620049092706,20.591260281974002,8.0580812650355771,7.2111025509279782,41.277418509524175,42.245065431361262,42.030235588223285,168.49599999999987,0.96586095190630461,0.73236974267625943,0.023018982429682304,0.16340291100371407,0.089610628493522457,0.014222449437094543,0.010975493990828181,0.04585377641147026,0.0026345731334989522,0.012226854386907644,0.01204387844913808,0.0049507978477313155,0.0046925567753822841,0.0089530546562946334,0.02561196486016544,0.019032830731790931,0.0019095343651643049,0.0015416849450232662,0.0045929911762473737,0.0069775520876262037,0.0041375942470387277,0.0076861362707852298,0.0086451641389128971,0.0012417255920676353,0.0084359656906307732,0.0020132538965499818,0.0057742005067056819,0.0064359930791760981,0.0038915764475598914,0.00054853973443765968,0.0024202823978664309,71.909807533025742,1665.4588392078876,0.72549021244049072,0.0039215683937072754,0.28788165459406501,0.58039218187332153,0.98823529481887817,0.50999863498599818,0.85936988607218145,0.98039215803146362,0.46274510025978088,0.46274510025978088,0.025351621006754737,0.17107749072569628,0.9843137264251709,366.03076348891108,872.41398236944144,0.0,366.31372549019608,872.46697626418984,0,346.0,870.0,0.0,5
1,6,1117,751.0,990.0,1.0,1.0228093789442982,0.57131391015223465,1.0,0.73486842105263162,0.88254414075459375,41.692593094902982,41.048751503547585,16.643316977093239,6.3585710526795918,5.6568542494923806,33.71181523570759,34.218430082340149,-35.909520705569598,126.11400000000006,0.95797598627787306,0.84404069523393266,0.084292991655819993,0.098550079374285393,0.06289777740553662,0.024520968973436887,0.0042641430126078442,0.033156462892224237,0.014072697197587745,0.012162964714632496,0.016007783591118423,0.016748593877889215,0.0054140252490032462,0.002471038356152607,0.004918587623298571,0.011343927498619967,0.0010008891176079048,0.01802481968248212,0.010068062000606238,0.0021440183935252325,0.0052368373216802617,0.0035702285609024538,0.0016281531181828075,0.0013060538692970115,0.0056195839202517412,0.00054486532829718551,0.0043062990080285756,0.0022249685184542543,0.0076130635376000589,0.0012724502203137267,0.00080025642964091307,53.949022233486176,933.5804026722908,0.68627452850341797,0.052941173315048218,0.33196101788205001,0.59607845544815063,0.9843137264251709,0.51380021174748736,0.83579266130017082,0.93137255311012268,0.43921568989753723,0.43921568989753723,0.029584834258743271,0.1739889722472277,0.9843137264251709,750.03187813606439,990.25403778758891,0.0,750.31154879140558,990.07520143240822,0,738.0,991.0,0.0,6
2,1,796,1099.0,105.0,1.0,2.7157717476906353,0.66280271120497702,1.0,0.33375262054507338,0.17539822290322313,59.348138973801269,52.630789467763066,6.0,2.5281635823035304,2.2360679774997898,42.434565011230028,44.439534796700883,-63.820671782917067,238.80799999999965,0.45589919816723939,0.3555334189557911,0.11534423973887274,0.063372195994590028,0.038651388180938516,0.02621428906617395,0.019346000104486664,0.093272896915051751,0.032903328707432643,0.0059134036563276331,0.027991519032884396,0.01053938193807176,0.0062863142785052001,0.022468640484809503,0.016791471596302395,0.010307923962002596,0.0046416179555897469,0.016247527957509889,0.010341597177949228,0.015402810724168532,0.0064860490943631482,0.024123965901935822,0.014581210422745511,0.0094888577450924199,0.0040860171840517894,0.0026569025099375679,0.0020969979651402262,0.0030866169984906417,0.0068871863273300268,0.0024337626668772009,0.0026933271144467768,90.3960802257061,405.19608947634697,0.45098039507865906,0.050980418920516968,0.85226433922599831,0.63137257099151611,0.77254903316497803,0.45654585972578837,0.50904031341249623,0.49803921580314636,0.3490196168422699,0.3490196168422699,0.05179972662998563,0.078186739998089783,0.55294120311737061,1110.0794579519031,107.77880473806904,0.0,1110.895728643216,108.02386934673366,0,1095.0,104.0,0.0,1
2,2,1323,360.0,386.0,1.0,1.0050363945925869,0.41111612482700816,1.0,0.75042541123085649,0.9019076532585516,42.99466429377636,42.720018726587654,19.209372712298546,7.0397727802726031,6.324555320336759,38.183766184073569,39.193204259541048,-35.530798696194353,135.77000000000004,0.96323261740080091,0.92204891577111903,0.014735217322062717,0.067258756054471028,0.03892800413669123,0.011339793599378796,0.0038277479605222306,0.04908286209473741,0.026356817538490455,0.0054657851965091422,0.0078657680364085693,0.0013883323694508355,0.0081937553666887215,0.028564030654232228,0.012768042161332226,0.0014189739835908412,0.0033098620339514872,0.0060811601881047353,0.00064534387897489021,0.0054366777521592004,0.0016980148238038455,0.010812019884379164,0.002885018692562526,0.0035720644231743218,0.0027711089289325034,0.0041504098010575179,0.0051742538938366021,0.0015372671334319288,0.0034405062528076805,0.0025651222064772506,0.00036787280286606561,51.933334052562714,978.67060554027557,0.65882354974746704,0.094117641448974609,0.92826745011226941,0.54901963472366333,0.99215686321258545,0.45958702701382931,0.73973590743785,0.75686275959014893,0.3960784375667572,0.3960784375667572,0.034767152347813135,0.13854067215004348,0.85098040103912354,358.94656622974696,385.89243911658315,0.0,359.86772486772486,385.77777777777777,0,345.0,388.0,0.0,2
2,3,1015,754.0,584.0,1.0,1.0785047497501143,0.71573325195082582,1.0,0.71529245947850595,0.75904035164370021,43.286747853197646,43.174066289845804,15.0,5.6688477053344926,5.0,31.287095629686952,30.230328961635468,-20.235364082935519,129.63000000000005,0.93981481481481477,0.69331445166641115,0.039464773114217699,0.17040065330391829,0.089148249894510576,0.0036081738232548784,0.015706834420657959,0.030672576840547427,0.0021170226178691262,0.02930209249532708,0.015562603258427786,0.019641281033879365,0.0072209102544811736,0.017546763561181431,0.022411590918843181,0.0050723950394041028,0.0085923693765250966,0.00083904472032334746,0.005953789773640859,0.0038082412916250964,0.0027214096320339739,0.0041360010816156182,0.0053029255831979075,0.0023107101150714347,0.012943733284265083,0.0033823716946142644,0.0078386189817692149,0.011143260010875317,0.0061052979250031409,0.0050763449768653135,0.0019804957971274544,47.176470994949341,473.34118494391441,0.43137255311012268,0.031372547149658203,0.56520405997287904,0.49019607901573181,0.60784316062927246,0.43681917587916058,0.46634599501863488,0.45882353186607361,0.40392157435417175,0.35686275362968445,0.017340459366061056,0.049480228370703504,0.49411764740943909,749.86186631929661,585.88781462733266,0.0,750.42561576354683,585.84729064039414,0,737.0,589.0,0.0,3
2,4,2437,903.0,645.0,1.0,1.1415499415571333,0.76154971976634722,1.0,0.66621104428649536,0.62829220566126465,70.56456665055228,67.801179930735714,18.248287590894659,7.2485509211501169,6.7082039324993694,46.346347661987771,45.733353716072422,-52.054361665700512,220.77599999999956,0.93748797845739551,0.67498037209475581,0.045482339869890406,0.14876243640951811,0.10508549831238451,0.014830080938376742,0.017195537658816505,0.025752859513289136,0.019154397789260955,0.018002771179522571,0.0090884676796333299,0.017872309045885076,0.003974598560315303,0.0031183374370600653,0.019424388490800783,0.020688903999149012,0.0077764656396873914,0.0057871004749157906,0.011846230024338404,0.0065237721900631368,0.0014426866183580899,0.0054094551484770706,0.0036911297106474329,0.011662043911967469,0.0089476063438512759,0.0035272865015604509,0.0016050804505320742,0.0049430132014877982,0.0090934723278558102,0.0033186702474831439,0.0010993687070049035,83.917648315429688,1632.0157250165939,0.56078433990478516,0.10196077823638916,1.1769981412767703,0.55294120311737061,1.0,0.45607417562733527,0.66968228355215176,0.67450982332229614,0.3960784375667572,0.3960784375667572,0.037723711894009769,0.13958755757108945,0.7607843279838562,900.64669700113382,655.32667415615288,0.0,901.22814936397208,656.35002051702918,0,901.0,631.0,0.0,4
